D88,D27,D14,D33,D36,D45,D57,D63,D54
-171.5608,-92.4241,-1.2667,179.015,-64.1708,-48.9066,-120.6759,75.376,-64.5209
174.9809,-86.1432,-174.364,-85.9355,-63.6324,69.4256,73.6406,74.8972,75.6825
-177.7868,90.852,0.7779,-83.2392,-63.0177,-177.7739,-94.191,62.6526,-75.291
177.3916,90.9318,-22.9497,118.63,-71.5375,-55.3889,-83.32,167.7188,-173.2409
-165.4122,-90.6083,105.2534,-82.5313,-65.6672,69.8714,171.9189,63.861,-67.6734
-178.1075,86.5719,178.5915,-179.0187,-167.8543,63.0176,106.8376,169.0105,-167.6566
-178.6702,-87.2972,-178.3259,-84.2273,-53.9058,-48.158,-62.3144,172.1988,177.3276
172.0315,-87.7711,-158.6195,-97.9167,-159.652,-160.8175,-101.6171,-65.9936,152.503
172.9413,-85.8746,-177.2889,176.6068,-91.1598,50.9732,-179.4945,169.2373,176.3572
-172.6681,86.0019,-178.2637,-83.8205,-64.3642,-169.0129,163.0982,-70.5686,155.5829
-174.9348,86.4822,-177.3912,173.4743,63.0832,77.3143,-73.5048,-178.8077,53.2236
-175.5504,86.5886,179.3856,-82.8867,-53.622,-47.9844,-62.414,172.009,177.6427
-173.7908,-89.423,-143.5063,-131.5104,58.5186,64.6333,171.8325,69.2911,177.7195
-176.3514,-92.2203,1.4245,176.896,47.3737,54.3287,58.2871,65.1024,173.8234
-178.3111,86.464,178.2007,-178.4649,-174.74,-174.2851,-97.448,-72.2641,57.8834
-175.1659,86.2384,-178.5842,177.5602,-84.5542,46.2933,165.7464,70.1243,73.6456
170.3068,92.0988,-29.9594,103.6471,50.2447,-82.2132,-163.8767,76.5564,99.0096
-176.322,-88.02,-176.439,80.1973,-171.3618,-161.5014,-103.0529,-65.7553,155.7344
-174.1014,86.0929,179.452,-81.6762,-63.4209,165.2843,62.1096,68.0878,77.6581
177.3959,-86.2639,-177.7648,176.0721,63.1561,59.1741,70.4761,146.7424,53.1511
-175.7745,-90.3298,-31.1627,101.7297,40.7862,170.8186,178.1424,-59.111,-83.4652
178.3882,87.1577,-175.9533,78.6149,176.3305,-174.306,-98.3145,60.9448,54.3526
174.481,-86.1072,-177.8416,177.5068,-84.8996,46.1635,166.4515,70.267,73.951
-173.5708,-92.6359,1.8711,178.4753,67.8161,60.5272,111.4161,-63.6621,48.4317
-179.3217,87.2021,-175.5244,-84.9817,-62.4572,73.78,169.734,63.5594,-70.5202
