10x,10y,10z,12x,12y,12z,13x,13y,13z,30x,30y,30z,
-3.885847,0.833706,-0.980310,-4.202769,-0.578278,-0.793634,-5.433719,-0.879930,-0.057830,-4.254720,-1.033500,-1.699153,
-3.396370,0.662874,0.275123,-4.320478,0.141659,-0.729781,-5.040831,-1.103245,-0.410518,-5.004090,0.862271,-0.955244,
3.543616,0.956021,0.755402,3.995132,-0.416686,0.818415,5.107738,-0.861895,-0.015588,3.229701,-1.083175,0.821911,
-3.981593,-0.761533,0.149856,-4.126175,0.597681,-0.349289,-5.176247,1.398242,0.286249,-4.298256,0.571793,-1.353972,
3.367452,-0.547837,1.002770,3.362387,0.807447,0.472522,4.609465,1.282562,-0.139582,3.079172,1.460430,1.198232,
-3.466691,0.611071,1.055344,-3.588965,-0.663263,0.354550,-4.947868,-1.174971,0.152224,-3.045892,-1.366376,0.844233,
3.511697,-0.815153,1.053459,3.676427,0.607893,0.832390,4.480407,1.076322,-0.301508,2.768726,1.064663,0.827329,
2.732664,-0.185410,1.196842,2.565743,0.944670,0.293348,3.783532,1.580446,-0.231114,2.000821,1.655878,0.752581,
3.631664,-0.876563,-0.184782,4.450323,0.290826,0.083637,5.655392,0.435629,-0.737153,4.714025,0.308909,1.068078,
-3.401744,-0.378982,-0.708952,-2.719232,0.839191,-0.323542,-3.531489,2.055579,-0.339386,-2.286727,0.718543,0.589643,
-3.413712,0.381051,-0.948762,-4.378494,0.016687,0.075330,-5.717670,0.576082,-0.111637,-4.441937,-1.000144,0.061712,
-3.724984,-1.006699,-0.701589,-3.577438,0.436931,-0.666594,-4.464190,1.171014,0.238637,-2.609345,0.660535,-0.459946,
3.299860,-0.404397,-0.454627,4.017400,0.239577,0.636083,5.276442,0.917090,0.291835,3.396489,0.920519,1.067175,
3.226936,0.640841,0.847452,4.069034,-0.529163,0.686799,5.125161,-0.487091,-0.325261,3.489026,-1.352353,0.548890,
-3.398505,-0.169695,0.689051,-3.502287,1.114868,-0.001491,-4.847196,1.648820,-0.253792,-2.965370,1.816305,0.497271,
3.892798,-0.131268,1.172779,4.031512,1.033709,0.300532,5.236218,1.138386,-0.536624,3.961567,1.878983,0.857253,
3.867251,-0.427205,-0.380929,3.150290,0.769894,0.002327,3.782816,2.040190,-0.352674,2.934484,0.754716,0.997206,
3.243193,0.973862,0.417806,4.320277,0.025031,0.191402,5.660624,0.610775,0.150586,4.277466,-0.646491,0.956470,
3.420383,-0.498641,1.033924,3.276058,0.830072,0.446301,4.500018,1.626970,0.315883,2.600128,1.359909,0.986261,
-3.741695,-0.006679,-0.086189,-3.075754,1.006867,0.710961,-2.346086,2.044366,-0.024521,-2.447572,0.550623,1.366920,
3.301752,-0.540882,-0.599748,4.118402,0.612249,-0.280617,3.570160,1.946163,-0.501288,4.500427,0.514859,0.656849,
-2.961062,-0.493044,-0.969876,-2.722016,0.830822,-0.411433,-3.873580,1.547027,0.156740,-2.294015,1.418152,-1.123986,
-3.249485,0.812229,0.774053,-2.998292,-0.555002,0.348506,-4.120712,-1.478694,0.526217,-2.699114,-0.557180,-0.624790,
-4.004054,-0.706049,0.760081,-4.041157,0.752716,0.741212,-5.113822,1.368141,-0.045045,-4.106706,1.099164,1.692853,
2.604844,-0.785407,0.814886,3.624789,0.217180,1.051477,4.917937,0.102038,0.367538,3.232281,1.142071,0.899458,
3.723438,-0.563493,0.661254,4.396271,0.720181,0.873544,5.436544,1.136279,-0.083708,4.791411,0.747511,1.807857,
-3.913203,0.837561,-0.160197,-3.451749,-0.521611,0.019565,-4.373933,-1.577072,-0.398930,-3.158978,-0.676628,0.982237,
-3.187977,0.024395,0.165497,-4.144671,0.191563,-0.928685,-5.418487,0.863890,-0.620914,-3.687340,0.701131,-1.683046,
-3.810262,1.003278,-0.597735,-4.664890,-0.074937,-0.135046,-4.114854,-1.374567,0.245891,-5.290566,0.261179,0.591957,
2.927254,0.264052,-1.090030,3.825168,-0.765608,-0.605120,5.013782,-0.378908,0.163408,3.293726,-1.465898,-0.095482,
-3.263171,0.051065,0.587790,-2.931263,1.090925,-0.374229,-2.894911,2.451007,0.178185,-3.636187,1.079192,-1.111098,
3.520173,0.856455,0.803721,3.726271,-0.578704,0.779459,4.548035,-1.150308,-0.288049,2.824789,-1.046926,0.812075,
3.783398,-0.020766,-0.899757,5.140576,-0.367377,-0.513178,5.912532,0.599770,0.274238,5.108875,-1.265307,-0.035764,
3.905349,-0.379688,-0.207611,3.116253,0.779670,0.166066,3.855341,2.041483,0.203436,2.686985,0.615577,1.073175,
-3.678326,-1.054359,-0.278929,-3.275903,0.329245,-0.053247,-4.335559,1.338020,-0.179622,-2.517545,0.544178,-0.696880,
-3.547330,-0.341553,0.867098,-4.679637,-0.000316,0.002316,-4.871433,1.408832,-0.380699,-5.540474,-0.338095,0.420128,
-3.152571,-0.488458,0.745933,-3.903194,0.752294,0.807642,-4.923903,1.014397,-0.215585,-3.250107,1.531852,0.829649,
3.496075,-0.628195,-0.949849,3.681229,0.802364,-0.837668,4.774405,1.338225,-0.031253,2.811006,1.299712,-0.677886,
3.154403,-0.263662,0.065193,4.235679,0.308637,-0.721804,4.961176,1.437454,-0.127559,3.831604,0.606645,-1.607428,
3.637318,-0.747387,-0.496478,4.451250,0.261230,0.156081,4.447174,1.612154,-0.402896,4.214756,0.279538,1.146758,
3.940511,0.807728,-0.049480,3.411795,-0.537576,-0.174172,4.415860,-1.600917,-0.142374,2.873989,-0.609586,-1.034143,
3.490575,0.328174,0.652047,3.812877,-0.925939,-0.026443,5.225712,-1.205051,-0.314322,3.428204,-1.706923,0.494199,
3.602650,0.797140,-0.313274,3.129346,-0.573690,-0.347334,4.168066,-1.597539,-0.453195,2.545263,-0.756529,0.465619,
2.980653,-0.392281,-0.779894,3.505433,0.959704,-0.844204,4.527721,1.370039,0.127797,2.729836,1.616638,-0.803472,
3.438490,0.749341,0.614922,3.796772,-0.633773,0.341617,5.150590,-0.868018,-0.167766,3.640787,-1.209471,1.164028,
-3.661810,-0.546223,-0.167258,-3.243316,0.814974,0.150945,-4.138622,1.883652,-0.306329,-3.121933,0.911394,1.157130,
3.611825,0.537392,0.066646,4.901845,-0.098377,0.308018,6.072874,0.542536,-0.301104,5.055014,-0.189683,1.312112,
-4.038968,-0.968769,-0.776453,-4.285207,0.452533,-0.942045,-4.574371,1.274774,0.240832,-3.529986,0.878084,-1.472622,
-3.755014,0.651222,-0.107870,-3.513022,-0.595935,0.593127,-4.378879,-1.729252,0.249999,-2.540587,-0.860561,0.464429,
3.784071,-0.302675,0.233426,3.374555,0.830125,-0.595605,3.503576,2.156789,0.017478,3.906220,0.827160,-1.460251,
4.010857,0.942708,0.335409,3.931893,-0.211453,-0.558643,4.547700,-1.452267,-0.072261,4.359476,0.026701,-1.447616,
-3.914208,0.926187,-0.953078,-4.381840,-0.447592,-0.987723,-4.875575,-1.049536,0.253589,-3.678184,-1.051772,-1.402381,
3.715189,-0.528489,1.065078,5.082887,-0.199368,0.712288,5.537113,-0.637794,-0.613082,5.697723,-0.570263,1.428993,
3.355833,-0.868327,-1.068742,4.260526,-1.028331,0.068643,5.575204,-0.377816,-0.026333,4.412377,-2.019740,0.220504,
3.741600,-0.423355,0.166228,3.360083,0.729688,-0.640917,3.208796,1.998445,0.081890,4.021697,0.861674,-1.401328,
-3.655021,-0.580725,1.071273,-3.319719,0.822801,0.919490,-4.273451,1.685011,0.227133,-2.386342,0.931320,0.533974,
3.484956,-0.389350,-0.759279,4.909409,-0.196560,-0.564352,5.385004,0.993955,0.142668,5.303181,-1.042470,-0.163161,
-3.867253,-0.344275,0.306408,-3.329137,0.945182,0.738595,-3.682748,2.101256,-0.092919,-3.629705,1.135622,1.689283,
-3.531916,-0.572780,0.851455,-3.412599,0.871486,0.792682,-4.126197,1.590127,-0.263801,-2.428439,1.124996,0.780798,
3.485601,0.785182,-1.150952,3.771836,-0.587946,-0.811149,4.856122,-0.939756,0.103324,2.932818,-1.132983,-0.643965,
3.515133,-0.682422,1.175840,3.355877,0.680627,0.701681,4.427819,1.214764,-0.141178,2.466580,0.754743,0.218322,
-3.408942,-0.785013,0.604154,-4.464064,0.128111,0.216061,-4.247089,1.562844,0.372418,-4.789702,-0.100740,-0.719846,
-3.463987,-0.633038,-1.139975,-3.460889,0.787857,-0.884364,-4.466803,1.411343,-0.026448,-2.529375,1.150806,-0.712245,
-3.452085,-0.698472,0.728365,-4.600806,0.157698,0.499966,-4.470948,1.574126,0.157119,-5.300604,-0.301860,-0.072908,
-3.589513,-0.798557,-0.366252,-3.135524,0.576017,-0.351238,-4.179844,1.594885,-0.447046,-2.555190,0.742108,0.467752,
-3.734460,-0.486545,-0.218897,-3.589310,0.514108,0.839496,-3.953795,1.901011,0.513801,-4.122043,0.228325,1.654333,
