D88,D27,D14,D33,D36,D45,D57,D63,D54
-172.0247,-92.9235,-0.788,-178.9315,-63.9908,-166.172,-89.3153,163.5786,155.5619
-176.4882,86.1719,-178.9681,177.3625,52.7101,-172.4387,165.697,162.2079,156.347
172.4791,93.0557,0.2639,-179.9056,-63.5154,-161.3824,-105.4405,67.7666,157.2116
171.719,-86.0715,-177.1764,176.1338,53.3114,-84.3252,-160.4524,171.9564,98.6336
172.479,93.0646,0.2619,-179.9074,-63.5122,-161.384,-105.4473,67.7685,157.2176
175.248,92.4175,-1.2534,-176.9169,177.6351,175.4195,179.8593,170.5981,-55.1188
-176.4867,-92.4093,-2.2715,-176.4256,177.8275,175.3955,179.7751,170.6098,-54.568
-172.4215,-92.9062,-0.7174,-179.1556,-63.2893,-161.6544,-105.5765,67.7002,157.6392
-173.2615,-92.764,1.2863,-83.9769,-64.2677,-166.4311,-89.2661,163.6498,155.2425
-175.8297,86.0127,-179.0412,177.5388,52.9317,-170.9781,160.2988,62.6367,156.2528
-172.4614,85.8141,179.2242,-179.1834,-63.276,-161.657,-105.596,67.7087,157.6553
-173.2512,-92.7623,1.3111,-83.9937,-64.2563,-166.4374,-89.281,163.6541,155.2636
-176.5243,86.1806,-178.9885,177.3821,52.7079,-172.445,165.7024,162.1999,156.3512
171.7531,92.7256,2.9609,176.1369,53.3125,-84.3187,-160.4532,171.9624,98.6251
171.712,-86.0608,-177.1835,176.1397,53.3132,-84.3232,-160.452,171.9541,98.6316
-173.6013,-92.6446,1.76,176.2995,66.592,175.1959,176.7458,169.8818,50.5923
174.4414,92.7024,2.4608,175.967,66.3155,175.2583,176.5052,169.8368,50.2076
175.3299,92.5884,2.2102,177.2534,52.69,-172.5473,165.8937,162.2533,156.3656
-173.6043,86.1354,-178.5799,176.2997,66.5918,175.1957,176.7457,169.8813,50.5925
-175.8306,86.0136,-179.0407,177.5388,52.9319,-170.9782,160.2996,62.6367,156.2526
173.6441,-85.7717,-176.1916,-85.4675,-64.338,-166.2813,-89.1391,163.7653,155.0027
173.6532,92.5279,-1.2601,-177.7044,177.8144,61.9065,-178.0168,75.2237,-49.0196
-174.7595,-92.5367,-2.2695,-177.1107,177.9661,62.2154,-177.6025,75.4339,-48.4881
172.7415,-86.3289,178.7264,-175.9505,175.901,-58.9607,-177.8724,-68.2855,-45.2652
174.4427,-86.012,-177.725,175.9672,66.3154,175.2584,176.5051,169.8367,50.2076
174.6746,92.7169,2.0679,177.3324,52.8248,-171.0171,160.2047,62.65,156.3019
173.6583,-85.7725,-176.21,-85.454,-64.3475,-166.276,-89.1301,163.7577,154.9898
179.3855,91.9783,-0.6963,-177.4792,-166.9766,-171.0065,165.8858,161.8525,156.2846
173.6162,92.5438,-1.2545,-177.7075,177.8144,61.9037,-178.0235,75.2185,-49.0205
172.8005,-86.3525,178.743,-175.9651,175.8996,-58.9622,-177.867,-68.2878,-45.268
-174.7088,86.0836,177.8638,-177.1163,177.9656,62.2144,-177.6034,75.4312,-48.4888
-175.2998,86.2128,178.07,-175.644,176.3657,-58.8554,-177.8401,-68.413,-44.9512
175.2564,-86.1864,-177.9122,177.2592,52.6875,-172.5493,165.8967,162.2501,156.3677
-175.2996,86.2126,178.0701,-175.6442,176.3657,-58.8555,-177.8403,-68.4133,-44.9511
174.0918,92.4723,-1.1776,-177.9341,178.1813,62.556,-168.0719,173.2355,-49.2034
-174.3257,-92.5817,-1.9982,-177.4218,178.4852,62.8833,-167.8808,173.251,-48.7336
179.0895,-86.525,179.6629,-177.5178,-166.7462,-169.5705,160.5712,62.3571,156.0441
174.6723,92.7169,2.0684,177.3323,52.8251,-171.017,160.205,62.6502,156.3017
-169.2794,87.0568,150.0576,104.883,51.2634,-81.7928,-164.7497,76.3563,98.9369
179.3217,-86.5272,179.6053,-177.4985,-166.9822,-171.0112,165.8898,161.8442,156.2931
-179.9262,86.675,178.0686,-177.121,-167.3159,-170.9185,165.7186,161.8853,156.1845
174.0898,-86.2757,179.0904,-177.9338,178.1814,62.5561,-168.0714,173.2357,-49.2034
-174.3134,86.0731,178.1233,-177.4339,178.4887,62.8858,-167.8602,173.2461,-48.7383
177.0319,92.108,-1.0653,85.8528,172.0666,-59.5714,-172.2168,165.3212,-41.5002
-176.0355,-92.0635,-2.071,86.1936,171.5192,-59.7025,-172.3683,165.1952,-39.8426
-172.6525,-92.7567,1.3718,-83.8233,-64.3643,-169.0132,163.0981,-70.5678,155.5848
-169.285,87.0263,150.06,104.8803,51.2666,-81.7971,-164.7494,76.3602,98.9387
-172.7052,86.0218,-178.2721,-83.8115,-64.3619,-169.0125,163.1033,-70.5697,155.5916
-179.616,86.836,178.1141,-177.1736,-167.1517,-169.517,160.3477,62.4664,155.9897
178.9704,92.0417,-0.5955,-177.5388,-166.7491,-169.5762,160.5756,62.3538,156.0502
170.3028,-86.8977,151.7612,103.6519,50.2438,-82.2103,-163.8737,76.5676,99.0082
173.0555,-86.2418,179.1012,-176.9536,177.3165,-177.3601,-71.086,163.9745,-53.1043
-171.2245,-92.2679,-3.6766,87.1806,175.3894,178.0852,170.2081,71.8025,-51.4485
-168.9679,87.1766,151.0138,104.3078,50.8422,-82.6461,-160.2911,172.0415,98.6261
177.5207,91.6919,-1.4037,101.9405,-71.2093,-170.0286,161.9143,62.1557,158.207
-171.301,-90.961,-28.4193,102.5338,46.7573,-170.8526,164.6848,162.1118,154.1704
175.899,-86.0896,176.9341,86.6862,175.4923,177.9896,169.997,71.786,-53.2949
-179.8992,-92.0606,-2.1067,-177.1225,-167.3143,-170.9209,165.7208,161.8962,156.1863
-175.0904,86.0532,177.8966,-176.3036,177.5272,-177.0903,-70.7899,164.1087,-52.5421
170.3155,92.0633,-29.9829,103.6614,50.2505,-82.2111,-163.8804,76.5589,99.0104
-173.751,87.3459,-152.2554,-113.6824,176.2516,-62.5731,-175.3412,164.6029,-54.5356
-171.2347,86.4496,175.9667,87.1888,175.3837,178.0794,170.2125,71.8055,-51.4402
-173.6968,87.3387,-152.2523,-113.6895,176.2441,-62.5741,-175.3248,164.6131,-54.5291
-175.9313,-92.0942,-2.0667,86.1929,171.5214,-59.7029,-172.3726,165.1872,-39.8469
-172.2871,85.9464,-179.3888,-82.7833,-58.6349,-73.9879,-152.8524,172.6443,90.3531
173.037,92.5439,-1.2507,-176.9586,177.3169,-177.359,-71.0767,163.9955,-53.1064
174.1929,92.4197,-1.1776,-177.012,177.9088,176.0435,175.9192,-60.2532,-55.4199
173.7432,92.7246,3.1191,-85.2236,-64.766,-169.0375,163.0102,-70.6059,155.5219
173.7429,-85.9972,-176.3985,-85.2237,-64.7661,-169.0375,163.0101,-70.6059,155.5219
173.4696,-85.9198,178.5694,-176.6893,-61.8358,-80.7679,133.4115,164.1485,80.7755
-172.2304,85.9156,-179.3987,-82.7752,-58.6332,-73.9835,-152.8471,172.6344,90.3456
-171.2131,-93.0664,0.1197,-82.8003,-58.3831,-72.8642,-153.0959,78.4186,89.2553
-175.4367,-92.7021,-2.1828,-176.4664,178.0935,176.1229,175.7196,-60.1968,-54.8811
-171.2347,85.7056,-179.4134,-82.807,-58.3728,-72.8553,-153.0963,78.4133,89.2479
-172.5637,86.0622,177.4364,-175.6693,-61.4907,-80.4598,133.6909,164.0192,80.3848
-171.3062,-90.9653,-28.4246,102.5337,46.754,-170.8541,164.6773,162.1132,154.1761
178.933,-87.9304,-146.4133,-118.5212,175.0943,-62.285,-175.2286,164.6904,-52.9611
175.858,-86.0758,176.9347,86.6842,175.4978,177.9881,169.9938,71.7824,-53.3143
178.9319,-87.9353,-146.3932,-118.5353,175.0921,-62.2837,-175.2326,164.6894,-52.9556
-171.1345,87.1643,152.4924,102.4235,46.8105,-169.5269,159.6113,62.5786,154.116
-168.9127,87.1772,151.0045,104.3132,50.8418,-82.6488,-160.2904,172.0382,98.6273
173.4452,92.7504,-1.6449,-176.6981,-61.8393,-80.7632,133.4086,164.1454,80.7725
173.7452,92.7239,3.1187,-85.2233,-64.7656,-169.038,163.0102,-70.6058,155.5223
-172.8271,86.1029,-178.7242,-83.6071,-62.6824,-161.9029,-105.4716,67.531,157.3407
-175.0861,-92.6702,-2.3,-176.3045,177.5273,-177.0913,-70.7896,164.1088,-52.5422
170.1066,-86.9527,151.7779,103.5707,49.9853,-83.0574,-159.9954,172.0439,98.8842
-179.5816,86.8119,178.114,-177.1769,-167.1562,-169.523,160.3571,62.4594,155.995
-172.8621,86.1035,-178.7255,-83.6052,-62.6902,-161.8974,-105.4542,67.522,157.3253
-172.5762,86.0503,177.4528,-175.677,-61.4931,-80.4482,133.6749,164.0202,80.3836
-172.5766,-92.6833,-2.6002,-175.6771,-61.4932,-80.4481,133.6748,164.0203,80.3837
-175.2413,-92.3717,1.2947,177.0376,65.5868,-178.5441,-76.8029,160.4022,50.9701
174.4451,-86.3446,179.1047,-178.157,178.6333,63.9675,89.1881,71.5295,-49.8166
-175.4287,86.1352,-178.9405,177.4875,53.0716,-168.6583,-88.0349,163.6354,155.3432
-174.8793,-92.1435,-2.0074,-177.7395,178.8158,64.2051,89.3633,71.4802,-49.3112
171.2842,-85.8777,-177.9126,-83.9199,-59.1826,-74.2037,-152.9471,172.5597,90.4287
177.429,-86.4247,-177.6722,176.4154,65.5019,-178.4552,-76.6807,160.5318,50.4252
171.3167,-85.9023,-177.8866,-83.9396,-59.1823,-74.2045,-152.9421,172.5589,90.4261
170.7599,-87.3259,153.2815,101.3229,45.0959,-170.7547,164.349,162.0524,153.8159
