D88,D27,D14,D33,D36,D45,D57,D63,D54
-172.0253,-92.9234,-0.788,-178.9315,-63.9908,-166.172,-89.3153,163.5785,155.5619
-176.4881,-92.3677,1.2629,177.3625,52.7101,-172.4387,165.697,162.2079,156.347
172.4758,-85.5802,-179.6595,-179.9072,-63.5123,-161.3844,-105.4476,67.7683,157.2181
171.719,-86.0715,-177.1764,176.1338,53.3114,-84.3252,-160.4524,171.9564,98.6336
172.4737,-85.5793,-179.6596,-179.9066,-63.5123,-161.3851,-105.4479,67.7679,157.2189
175.2484,-86.3589,179.0859,-176.9172,177.6352,175.4193,179.8592,170.5983,-55.1186
-176.4868,-92.4093,-2.2715,-176.4256,177.8275,175.3955,179.7751,170.6098,-54.568
-172.4471,85.8105,179.2055,-179.1545,-63.2859,-161.6604,-105.583,67.7025,157.6479
-173.2515,-92.7618,1.3113,-83.9936,-64.2562,-166.4372,-89.2806,163.6544,155.2634
-175.83,-92.5328,1.1892,177.5387,52.9315,-170.9781,160.2985,62.6367,156.2529
-172.4483,-92.8996,-0.7211,-179.1552,-63.2862,-161.6608,-105.5839,67.7027,157.6486
-173.2512,-92.7623,1.3111,-83.9937,-64.2563,-166.4374,-89.281,163.6541,155.2636
-176.5075,86.1898,-178.975,177.3674,52.7117,-172.4382,165.6988,162.205,156.3462
171.7536,92.7244,2.9606,176.1371,53.3125,-84.3187,-160.4532,171.9625,98.625
-173.601,86.1355,-178.5795,176.2995,66.592,175.1959,176.7458,169.8819,50.5923
174.4421,92.7019,2.4607,175.967,66.3155,175.2584,176.5051,169.8368,50.2076
175.3221,92.5934,2.2135,177.2507,52.6891,-172.5467,165.8928,162.2551,156.3663
-173.6043,-92.6448,1.7596,176.2997,66.5918,175.1957,176.7457,169.8813,50.5925
-175.8308,86.014,-179.0405,177.539,52.932,-170.9782,160.3,62.6366,156.2525
173.644,92.9093,3.3344,-85.4675,-64.338,-166.2813,-89.1391,163.7653,155.0027
173.6562,-86.2254,179.023,-177.7083,177.8129,61.9019,-178.0325,75.2218,-49.0169
-174.7598,-92.5329,-2.269,-177.1111,177.9657,62.2156,-177.6051,75.4346,-48.4873
172.7411,-86.329,178.7263,-175.9504,175.9009,-58.9608,-177.8724,-68.2855,-45.2649
174.4769,92.6789,2.4412,175.9817,66.3095,175.2532,176.5226,169.8513,50.225
174.7136,92.6922,2.0772,177.3226,52.8262,-171.0143,160.2026,62.6544,156.2986
173.6583,-85.7726,-176.2099,-85.454,-64.3475,-166.276,-89.1301,163.7577,154.9898
179.3599,91.9692,-0.6967,-177.4793,-166.9766,-171.008,165.8842,161.8516,156.288
173.6163,92.5438,-1.2545,-177.7075,177.8144,61.9037,-178.0235,75.2185,-49.0205
172.8005,-86.3525,178.743,-175.9651,175.8996,-58.9622,-177.867,-68.2878,-45.268
-174.735,-92.574,-2.2631,-177.1157,177.966,62.2144,-177.6036,75.4315,-48.4877
-175.299,86.2127,178.0701,-175.6438,176.3658,-58.8553,-177.8396,-68.4124,-44.9512
175.2574,92.5715,2.2036,177.2592,52.6875,-172.5493,165.8967,162.2501,156.3676
-175.2996,86.2126,178.0701,-175.6442,176.3657,-58.8555,-177.8403,-68.4133,-44.9511
174.0918,-86.2769,179.0905,-177.9341,178.1813,62.556,-168.0718,173.2355,-49.2034
-174.3261,-92.5817,-1.9981,-177.4218,178.4852,62.8833,-167.8809,173.251,-48.7336
179.0893,-86.525,179.6629,-177.5179,-166.7463,-169.5705,160.5711,62.3571,156.0442
174.6722,-86.0354,-178.051,177.3323,52.8251,-171.017,160.2049,62.6502,156.3017
-169.2787,-91.3372,-31.3956,104.8831,51.2638,-81.7928,-164.7496,76.3565,98.937
179.3305,-86.5521,179.591,-177.4788,-166.976,-171.0073,165.8877,161.8511,156.2853
174.0635,92.5018,-1.1779,-177.9339,178.184,62.5623,-168.0598,173.2275,-49.2074
-174.3134,86.0731,178.1232,-177.4339,178.4887,62.8858,-167.8602,173.2461,-48.7383
177.0317,92.108,-1.0652,85.8528,172.0666,-59.5714,-172.2168,165.3212,-41.5003
-176.0431,86.6092,177.4139,86.196,171.5188,-59.7037,-172.3692,165.1937,-39.8408
-172.6681,86.0019,-178.2637,-83.8205,-64.3642,-169.0129,163.0982,-70.5686,155.5829
-169.2863,87.0259,150.0621,104.8796,51.2657,-81.7975,-164.7484,76.3607,98.9378
-172.7059,86.0217,-178.2717,-83.8116,-64.3615,-169.0124,163.1039,-70.5701,155.5918
-179.597,-91.901,-2.0647,-177.1722,-167.1536,-169.5187,160.3514,62.4662,155.9903
178.9704,92.0417,-0.5955,-177.5388,-166.7491,-169.5762,160.5756,62.3538,156.0502
170.3022,-86.897,151.7607,103.6522,50.2439,-82.2103,-163.8738,76.5674,99.0083
173.0462,-86.2437,179.1034,-176.9568,177.3165,-177.3622,-71.0887,163.972,-53.1045
-171.2257,-92.2681,-3.677,87.1809,175.3893,178.0852,170.2082,71.8025,-51.4484
177.0078,92.1197,-1.0601,85.8504,172.0633,-59.5738,-172.2064,165.332,-41.4945
-168.969,-91.1807,-30.4082,104.3079,50.842,-82.6461,-160.291,172.0414,98.6261
-171.301,-90.961,-28.4193,102.5338,46.7573,-170.8526,164.6848,162.1118,154.1704
175.8416,92.7988,-2.9007,86.6865,175.4925,177.9949,169.9979,71.7856,-53.2978
-179.877,86.6615,178.0686,-177.123,-167.3153,-170.9227,165.7224,161.894,156.1893
-175.09,86.0532,177.8966,-176.3036,177.5273,-177.0902,-70.7899,164.1087,-52.5421
170.32,92.0658,-29.9844,103.6625,50.2524,-82.2118,-163.88,76.5606,99.0109
-171.2351,-92.2342,-3.6891,87.1896,175.383,178.0803,170.2127,71.806,-51.4402
-173.7246,87.3345,-152.2597,-113.68,176.2527,-62.5719,-175.3321,164.6081,-54.5406
-175.9313,-92.0942,-2.0667,86.1929,171.5214,-59.7029,-172.3726,165.1872,-39.8469
-172.2879,85.9472,-179.389,-82.783,-58.6347,-73.9878,-152.8526,172.6442,90.353
173.0369,92.5441,-1.2506,-176.9587,177.3168,-177.359,-71.0766,163.9955,-53.1062
174.1933,-86.3619,179.1598,-177.0126,177.909,176.0433,175.9193,-60.2533,-55.42
173.7432,92.7246,3.1191,-85.2236,-64.766,-169.0375,163.0102,-70.6059,155.5219
173.4696,-85.9198,178.5694,-176.6893,-61.8358,-80.7679,133.4115,164.1486,80.7755
-172.2344,85.9175,-179.3992,-82.7741,-58.6332,-73.9835,-152.8466,172.6342,90.3454
